age,workclass,education-num,occupation,capital-gain,capital-loss,hours-per-week,income
37,?,9,?,0,0,55,0
32,Private,10,Other-service,0,0,40,0
46,Private,14,Exec-managerial,0,0,45,1
27,Private,10,Tech-support,0,0,40,0
33,Private,2,Priv-house-serv,0,0,40,0
22,Private,10,Exec-managerial,0,0,40,0
59,Private,9,Craft-repair,0,0,40,0
25,Private,9,Other-service,0,0,40,0
53,Private,13,Sales,0,1485,40,0
28,Private,7,Farming-fishing,0,0,40,0
34,Local-gov,13,Prof-specialty,6497,0,40,0
46,Private,1,Machine-op-inspct,0,0,40,0
37,Private,13,Prof-specialty,15024,0,40,1
19,Private,5,Machine-op-inspct,0,0,40,0
54,Self-emp-inc,13,Tech-support,0,0,40,0
22,Private,9,Handlers-cleaners,0,0,50,0
31,Private,6,Transport-moving,0,0,40,0
64,Federal-gov,12,Other-service,0,0,40,1
44,Self-emp-inc,13,Farming-fishing,15024,0,65,1
45,Private,9,Exec-managerial,0,0,50,0
24,Private,10,Adm-clerical,0,0,40,0
31,Private,11,Tech-support,0,0,32,0
20,Private,9,Other-service,0,0,40,0
19,Private,4,Adm-clerical,0,0,80,0
62,Private,4,Protective-serv,0,0,40,0
50,Private,9,Handlers-cleaners,0,0,40,0
33,Private,13,Prof-specialty,0,0,40,0
37,Self-emp-inc,10,Exec-managerial,0,0,50,1
38,Private,9,Machine-op-inspct,0,0,40,0
36,Private,10,Other-service,0,1617,40,0
30,Self-emp-not-inc,12,Craft-repair,0,0,50,0
41,Self-emp-inc,15,Prof-specialty,0,2415,60,0
32,Private,13,Handlers-cleaners,0,0,50,1
36,Federal-gov,13,Prof-specialty,0,0,40,0
24,Private,10,Other-service,0,0,30,0
52,Private,3,Farming-fishing,0,0,40,0
60,Private,9,Other-service,0,0,40,1
34,Private,8,Craft-repair,0,0,40,0
43,Self-emp-not-inc,11,Exec-managerial,0,0,25,0
24,Private,9,Adm-clerical,0,0,40,0
38,Self-emp-not-inc,9,Craft-repair,0,0,40,1
35,Private,10,Adm-clerical,0,0,40,0
72,Self-emp-not-inc,10,Farming-fishing,0,0,74,0
57,Private,9,Tech-support,0,0,54,0
54,Private,16,Tech-support,0,2472,40,0
40,Private,10,Handlers-cleaners,0,0,40,0
20,Private,10,Sales,0,0,45,0
34,Local-gov,14,Prof-specialty,0,0,41,0
47,Federal-gov,13,Protective-serv,0,0,50,1
25,Private,9,Adm-clerical,4416,0,40,0
29,Private,10,Handlers-cleaners,0,0,20,0
37,Private,9,Craft-repair,0,1902,50,0
27,Private,13,Adm-clerical,0,0,40,0
47,State-gov,9,Protective-serv,0,0,40,0
32,Local-gov,10,Prof-specialty,0,0,50,0
40,Private,13,Sales,0,0,55,1
36,Private,10,Sales,0,0,44,0
28,Private,11,Prof-specialty,0,0,36,0
50,Private,9,Sales,0,0,45,0
45,State-gov,14,Adm-clerical,0,0,40,0
43,Self-emp-not-inc,13,Prof-specialty,0,0,50,0
34,Private,5,Craft-repair,0,0,40,0
37,Private,11,Craft-repair,0,0,45,1
43,Private,9,Handlers-cleaners,0,0,42,1
22,Private,9,Adm-clerical,0,0,20,0
24,Local-gov,13,Prof-specialty,0,0,50,0
42,Federal-gov,13,Tech-support,0,0,40,0
29,Private,9,Tech-support,0,0,45,0
30,Self-emp-not-inc,9,Sales,0,0,50,0
40,Private,10,Other-service,0,1485,40,0
60,Private,9,Prof-specialty,0,0,72,0
30,Private,14,Prof-specialty,0,0,45,0
54,Private,14,Exec-managerial,0,0,40,0
38,Private,9,Craft-repair,0,0,40,0
22,Private,9,Transport-moving,0,0,40,0
62,Private,10,Other-service,0,0,60,0
42,Private,10,Prof-specialty,0,0,20,0
63,Private,10,Exec-managerial,0,0,10,0
26,Private,9,Handlers-cleaners,0,0,40,0
40,Private,11,Prof-specialty,0,0,40,1
41,Private,13,Exec-managerial,0,0,50,1
36,Private,12,Adm-clerical,0,0,42,0
29,Private,12,Prof-specialty,0,0,50,0
28,Private,9,Machine-op-inspct,0,0,50,0
36,Private,7,Transport-moving,0,0,40,0
28,Private,13,Sales,0,0,60,1
24,Private,9,Exec-managerial,0,0,40,0
45,Private,10,Tech-support,0,0,45,0
31,Private,14,Prof-specialty,0,0,40,0
62,Private,9,Exec-managerial,0,0,40,1
49,Private,9,Craft-repair,0,0,40,0
27,Private,9,Craft-repair,0,0,40,0
46,Private,9,Handlers-cleaners,0,0,40,0
