age,workclass,education,occupation,hours-per-week,income
37,?,HS-grad,?,55,0
32,Private,Some-college,Other-service,40,0
46,Private,Masters,Exec-managerial,45,1
27,Private,Some-college,Tech-support,40,0
33,Private,1st-4th,Priv-house-serv,40,0
22,Private,Some-college,Exec-managerial,40,0
59,Private,HS-grad,Craft-repair,40,0
25,Private,HS-grad,Other-service,40,0
53,Private,Bachelors,Sales,40,0
28,Private,11th,Farming-fishing,40,0
34,Local-gov,Bachelors,Prof-specialty,40,0
46,Private,Preschool,Machine-op-inspct,40,0
37,Private,Bachelors,Prof-specialty,40,1
19,Private,9th,Machine-op-inspct,40,0
54,Self-emp-inc,Bachelors,Tech-support,40,0
22,Private,HS-grad,Handlers-cleaners,50,0
31,Private,10th,Transport-moving,40,0
64,Federal-gov,Assoc-acdm,Other-service,40,1
44,Self-emp-inc,Bachelors,Farming-fishing,65,1
45,Private,HS-grad,Exec-managerial,50,0
24,Private,Some-college,Adm-clerical,40,0
31,Private,Assoc-voc,Tech-support,32,0
20,Private,HS-grad,Other-service,40,0
19,Private,7th-8th,Adm-clerical,80,0
62,Private,7th-8th,Protective-serv,40,0
50,Private,HS-grad,Handlers-cleaners,40,0
33,Private,Bachelors,Prof-specialty,40,0
37,Self-emp-inc,Some-college,Exec-managerial,50,1
38,Private,HS-grad,Machine-op-inspct,40,0
36,Private,Some-college,Other-service,40,0
30,Self-emp-not-inc,Assoc-acdm,Craft-repair,50,0
41,Self-emp-inc,Prof-school,Prof-specialty,60,0
32,Private,Bachelors,Handlers-cleaners,50,1
36,Federal-gov,Bachelors,Prof-specialty,40,0
24,Private,Some-college,Other-service,30,0
52,Private,5th-6th,Farming-fishing,40,0
60,Private,HS-grad,Other-service,40,1
34,Private,12th,Craft-repair,40,0
43,Self-emp-not-inc,Assoc-voc,Exec-managerial,25,0
24,Private,HS-grad,Adm-clerical,40,0
38,Self-emp-not-inc,HS-grad,Craft-repair,40,1
35,Private,Some-college,Adm-clerical,40,0
72,Self-emp-not-inc,Some-college,Farming-fishing,74,0
57,Private,HS-grad,Tech-support,54,0
54,Private,Doctorate,Tech-support,40,0
40,Private,Some-college,Handlers-cleaners,40,0
20,Private,Some-college,Sales,45,0
34,Local-gov,Masters,Prof-specialty,41,0
47,Federal-gov,Bachelors,Protective-serv,50,1
25,Private,HS-grad,Adm-clerical,40,0
29,Private,Some-college,Handlers-cleaners,20,0
37,Private,HS-grad,Craft-repair,50,0
27,Private,Bachelors,Adm-clerical,40,0
47,State-gov,HS-grad,Protective-serv,40,0
32,Local-gov,Some-college,Prof-specialty,50,0
40,Private,Bachelors,Sales,55,1
36,Private,Some-college,Sales,44,0
28,Private,Assoc-voc,Prof-specialty,36,0
50,Private,HS-grad,Sales,45,0
45,State-gov,Masters,Adm-clerical,40,0
43,Self-emp-not-inc,Bachelors,Prof-specialty,50,0
34,Private,9th,Craft-repair,40,0
37,Private,Assoc-voc,Craft-repair,45,1
43,Private,HS-grad,Handlers-cleaners,42,1
22,Private,HS-grad,Adm-clerical,20,0
24,Local-gov,Bachelors,Prof-specialty,50,0
42,Federal-gov,Bachelors,Tech-support,40,0
29,Private,HS-grad,Tech-support,45,0
30,Self-emp-not-inc,HS-grad,Sales,50,0
40,Private,Some-college,Other-service,40,0
60,Private,HS-grad,Prof-specialty,72,0
30,Private,Masters,Prof-specialty,45,0
54,Private,Masters,Exec-managerial,40,0
38,Private,HS-grad,Craft-repair,40,0
22,Private,HS-grad,Transport-moving,40,0
62,Private,Some-college,Other-service,60,0
42,Private,Some-college,Prof-specialty,20,0
63,Private,Some-college,Exec-managerial,10,0
26,Private,HS-grad,Handlers-cleaners,40,0
40,Private,Assoc-voc,Prof-specialty,40,1
41,Private,Bachelors,Exec-managerial,50,1
36,Private,Assoc-acdm,Adm-clerical,42,0
29,Private,Assoc-acdm,Prof-specialty,50,0
28,Private,HS-grad,Machine-op-inspct,50,0
36,Private,11th,Transport-moving,40,0
28,Private,Bachelors,Sales,60,1
24,Private,HS-grad,Exec-managerial,40,0
45,Private,Some-college,Tech-support,45,0
31,Private,Masters,Prof-specialty,40,0
62,Private,HS-grad,Exec-managerial,40,1
49,Private,HS-grad,Craft-repair,40,0
27,Private,HS-grad,Craft-repair,40,0
46,Private,HS-grad,Handlers-cleaners,40,0
50,Local-gov,HS-grad,Other-service,40,0
54,Self-emp-inc,Bachelors,Sales,40,0
71,Local-gov,Masters,Prof-specialty,40,0
67,Private,11th,Other-service,40,0
40,Private,Masters,Exec-managerial,50,1
31,Private,Some-college,Adm-clerical,40,0
43,Private,Masters,Prof-specialty,37,0
29,Private,Some-college,Craft-repair,45,0
41,State-gov,Bachelors,Prof-specialty,40,1
29,Private,Some-college,Sales,25,0
36,Self-emp-inc,Doctorate,Prof-specialty,40,0
28,Private,Bachelors,Adm-clerical,40,0
33,State-gov,Masters,Prof-specialty,60,0
20,Private,Some-college,Prof-specialty,24,0
47,Private,7th-8th,Handlers-cleaners,40,0
42,Private,HS-grad,Sales,40,0
28,Private,HS-grad,Handlers-cleaners,40,0
60,?,HS-grad,?,40,1
39,Private,Some-college,Adm-clerical,40,0
38,Private,HS-grad,Craft-repair,45,0
30,Self-emp-not-inc,Assoc-voc,Farming-fishing,60,0
