age,race,sex,native-country
39,White,Male,United-States
50,White,Male,United-States
38,White,Male,United-States
53,Black,Male,United-States
28,Black,Female,Cuba
37,White,Female,United-States
49,Black,Female,Jamaica
52,White,Male,United-States
31,White,Female,United-States
42,White,Male,United-States
37,Black,Male,United-States
30,Asian-Pac-Islander,Male,India
23,White,Female,United-States
32,Black,Male,United-States
40,Asian-Pac-Islander,Male,?
34,Amer-Indian-Eskimo,Male,Mexico
25,White,Male,United-States
32,White,Male,United-States
38,White,Male,United-States
43,White,Female,United-States
40,White,Male,United-States
54,Black,Female,United-States
35,Black,Male,United-States
43,White,Male,United-States
59,White,Female,United-States
56,White,Male,United-States
19,White,Male,United-States
54,Asian-Pac-Islander,Male,South
39,White,Male,United-States
49,White,Male,United-States
23,White,Male,United-States
20,Black,Male,United-States
45,White,Male,United-States
30,White,Male,United-States
22,Black,Male,United-States
48,White,Male,Puerto-Rico
21,White,Male,United-States
19,White,Female,United-States
31,White,Male,?
48,White,Male,United-States
31,White,Male,United-States
53,White,Male,United-States
24,White,Male,United-States
49,White,Female,United-States
25,White,Male,United-States
57,Black,Male,United-States
53,White,Male,United-States
44,White,Female,United-States
41,White,Male,United-States
29,White,Male,United-States
25,Other,Female,United-States
18,White,Female,?
47,White,Female,Honduras
50,White,Male,United-States
47,White,Male,United-States
43,White,Male,United-States
46,White,Male,Mexico
35,White,Male,Puerto-Rico
41,White,Male,United-States
30,White,Male,United-States
30,White,Male,United-States
32,White,Male,?
48,White,Male,United-States
42,White,Male,United-States
29,White,Male,United-States
36,White,Male,United-States
28,White,Female,United-States
53,White,Female,United-States
49,White,Male,United-States
25,White,Male,United-States
19,White,Male,United-States
31,Black,Female,United-States
29,White,Male,United-States
23,White,Male,United-States
79,White,Male,United-States
27,White,Male,Mexico
40,White,Male,United-States
67,White,Male,United-States
18,White,Female,United-States
31,White,Male,United-States
18,White,Male,United-States
52,White,Male,Cuba
46,White,Female,United-States
59,White,Male,United-States
44,White,Female,United-States
53,White,Female,United-States
49,White,Male,United-States
33,White,Male,United-States
30,White,Male,United-States
43,White,Female,United-States
57,White,Male,United-States
37,White,Female,United-States
28,Black,Female,United-States
30,Asian-Pac-Islander,Female,?
34,White,Male,United-States
29,White,Male,United-States
48,White,Male,United-States
37,White,Male,United-States
48,White,Female,England
32,Black,Male,United-States
76,White,Male,United-States
44,White,Male,United-States
47,White,Female,United-States
20,White,Female,United-States
29,White,Male,United-States
32,White,Male,United-States
17,White,Female,United-States
30,White,Male,United-States
31,White,Female,United-States
42,White,Male,United-States
24,White,Male,United-States
38,White,Male,United-States
56,White,Male,Canada
28,White,Female,United-States
36,White,Female,United-States
53,White,Male,United-States
56,White,Male,United-States
49,Black,Male,United-States
55,White,Male,United-States
22,White,Male,United-States
21,White,Female,United-States
40,White,Male,United-States
30,Black,Male,Germany
29,White,Male,United-States
19,Black,Male,United-States
47,White,Female,United-States
20,White,Female,United-States
31,White,Male,United-States
