age,workclass,fnlwgt,education,marital-status,occupation,capital-gain,capital-loss,hours-per-week,race
47,6,8847,9,4,3,0,0,40,2
17,4,4051,6,4,7,0,0,20,4
34,4,19363,15,4,1,92,0,70,5
23,4,14491,4,4,9,0,0,12,4
28,4,12516,11,4,1,0,0,40,5
17,4,2522,2,4,12,0,0,8,5
50,4,9248,11,2,7,0,0,50,2
44,4,15065,9,2,4,0,0,40,4
54,4,12086,15,2,10,93,0,38,5
38,7,21721,15,4,13,0,0,50,5
41,4,17877,9,2,3,119,0,40,5
28,4,60,11,4,4,0,0,40,4
21,4,10004,8,4,8,0,0,20,5
23,4,4282,15,4,1,0,0,40,1
22,4,12354,11,4,5,0,0,40,4
28,4,5997,11,4,12,0,0,70,2
37,2,20302,15,2,3,81,0,40,1
25,4,9948,15,4,4,0,0,75,5
28,4,18968,11,4,1,0,0,40,4
37,4,4974,6,0,3,0,0,35,4
53,7,11008,11,2,8,0,0,40,5
59,4,3830,12,6,4,0,0,40,2
63,4,4103,11,0,12,0,0,40,4
54,2,9230,15,0,4,0,0,35,2
44,4,8412,15,3,6,0,0,40,4
17,5,16617,1,4,10,0,0,20,2
38,4,5421,9,4,8,0,0,45,4
60,7,6351,11,6,1,0,0,35,4
43,4,17803,15,0,12,0,0,42,5
23,4,14399,15,4,3,0,0,37,4
64,4,10905,0,2,14,0,0,50,5
39,4,8189,11,2,1,0,0,40,4
23,4,1683,9,4,12,0,27,12,4
26,4,4252,9,4,4,0,0,40,0
26,4,12854,15,4,6,0,0,30,5
33,4,2828,11,2,7,0,0,40,4
44,4,15092,8,2,4,0,0,40,4
54,2,2302,12,2,10,0,0,45,5
29,4,14220,9,4,4,0,0,40,5
32,4,6555,9,2,10,0,0,50,4
37,6,515,11,2,5,0,0,60,4
25,4,4857,11,4,12,0,0,50,4
47,4,4018,9,2,4,0,0,50,5
35,4,608,14,2,10,110,0,60,5
28,0,10073,0,5,0,0,0,80,4
21,4,12565,15,2,1,0,0,28,5
30,4,16095,11,0,8,0,0,40,4
40,4,2673,11,2,3,0,0,40,5
50,4,18910,11,5,8,0,0,40,4
34,4,6483,11,4,8,0,0,40,4
52,0,5791,5,2,0,0,0,40,4
53,4,86,11,2,3,0,0,46,4
48,1,1549,15,3,4,0,0,40,5
42,4,12830,12,2,4,0,0,40,5
74,0,387,5,2,0,0,0,2,4
24,1,6418,9,4,4,0,0,40,4
39,4,19264,15,4,1,0,0,40,4
21,7,18431,15,4,1,0,0,15,4
23,4,1246,15,5,8,0,85,40,4
70,4,15103,0,6,14,0,0,40,5
56,4,7667,11,0,1,0,0,32,2
31,4,16859,8,4,1,0,0,40,4
40,4,1735,15,0,12,0,0,20,5
29,4,15960,12,2,12,93,0,40,4
23,4,14519,9,4,12,0,0,60,4
32,4,10269,15,0,4,0,0,60,4
64,6,9376,11,2,10,0,0,60,5
27,4,14665,11,0,1,0,0,32,5
47,4,13016,1,2,8,0,0,35,4
58,4,4873,9,2,10,0,0,40,4
57,4,10753,15,2,3,0,0,40,5
19,4,14375,15,4,8,0,0,30,4
30,2,18049,15,4,11,55,0,40,5
37,4,3501,3,0,8,0,0,35,5
27,2,5055,9,4,10,0,0,40,4
61,2,18920,9,0,10,0,0,40,5
46,5,9415,11,2,4,0,0,75,5
31,4,16784,15,0,8,0,0,15,4
57,4,7490,15,4,1,0,0,40,4
35,4,14565,15,4,3,0,0,45,1
48,4,6278,11,2,3,0,0,42,4
50,4,1226,10,2,10,110,0,50,4
23,4,7998,11,4,12,0,0,40,4
45,0,5630,5,0,0,0,0,48,2
40,4,12833,11,2,7,0,0,40,5
35,7,12203,11,2,3,0,31,40,4
31,4,7874,15,0,1,0,0,50,4
58,4,4823,9,2,4,0,0,50,5
21,4,19187,15,4,8,0,0,32,4
45,2,15686,12,2,10,96,0,55,4
57,4,6759,9,2,4,0,0,40,4
57,0,8251,15,0,0,0,0,40,4
18,4,305,1,4,8,0,0,40,4
57,4,13901,11,2,10,0,0,15,4
30,4,3155,7,4,13,0,0,40,4
29,4,12538,15,0,6,0,0,36,5
33,4,20904,0,4,8,0,0,20,4
24,4,20129,0,2,7,0,0,50,5
25,4,21339,9,4,13,0,0,40,4
30,4,17367,15,4,8,0,0,40,4
27,6,5242,15,4,12,0,0,50,1
19,4,1889,11,4,8,0,0,25,4
62,4,9290,9,2,4,0,0,40,4
22,4,10386,15,4,1,0,0,50,4
45,4,3729,15,2,7,0,0,65,4
25,4,13855,1,3,6,0,0,40,4
50,5,12315,12,4,10,0,0,50,2
38,4,13702,9,4,7,0,0,8,4
29,7,4489,12,4,10,0,0,35,4
74,0,13409,4,2,0,0,0,56,4
47,4,17551,15,0,7,0,0,40,4
29,4,6650,9,4,10,99,0,45,4
29,4,407,9,2,4,0,0,40,5
61,4,8077,11,6,12,0,0,35,2
34,4,20228,1,2,14,0,0,40,5
20,4,5647,15,4,1,0,0,25,5
47,2,3464,15,0,1,0,0,33,4
33,4,5977,9,4,10,0,0,40,2
43,4,15316,11,2,7,0,0,40,5
27,4,1406,9,4,1,0,0,43,4
40,4,18572,15,2,8,0,0,35,4
43,1,13982,11,4,1,0,0,40,4
27,4,6271,9,4,10,0,0,40,5
36,4,10023,9,4,4,0,0,60,5
30,4,5597,8,2,14,0,0,40,5
22,4,4710,15,4,10,0,0,98,4
38,4,11362,9,4,10,0,0,40,4
59,2,9730,11,5,11,0,74,40,4
41,4,11491,11,2,7,0,0,48,4
39,4,14538,11,2,7,0,0,43,4
57,4,8418,1,0,8,0,0,54,5
70,4,6778,9,2,10,113,0,35,5
47,5,3663,11,2,4,0,0,80,4
23,4,6651,11,4,8,0,0,45,5
65,7,14315,11,2,1,0,63,40,4
54,6,4175,11,2,14,0,0,60,4
29,7,3564,12,2,1,0,0,36,4
36,0,885,15,4,0,0,0,25,4
55,4,9497,15,0,8,0,0,20,2
34,4,846,11,2,3,66,0,46,4
40,4,5138,8,2,4,0,0,50,1
66,0,14102,15,2,0,0,44,40,4
35,4,15040,15,2,4,0,0,58,4
36,4,11820,11,2,14,0,0,60,4
28,4,4884,1,4,7,0,0,40,2
51,7,1188,12,2,10,0,0,70,5
47,5,19986,11,2,4,0,0,40,4
18,4,11479,11,4,8,0,0,12,5
26,0,6934,0,5,0,0,0,40,2
24,4,12515,8,4,13,0,0,38,5
29,4,396,11,2,3,0,0,40,4
26,4,15244,11,2,7,0,0,56,2
31,4,18215,11,2,7,0,0,40,2
45,6,13043,12,2,12,0,0,40,4
48,1,2423,12,4,4,0,0,40,5
37,4,4275,15,2,6,0,0,40,2
30,4,20949,9,4,10,0,0,50,4
28,4,13302,11,2,3,0,0,45,5
31,6,17796,11,2,3,0,0,45,2
22,4,8465,11,2,8,0,0,35,5
44,4,2298,15,0,12,0,5,50,5
23,2,17758,11,4,8,0,0,32,4
25,2,17001,9,4,10,0,0,35,5
19,4,12471,11,4,12,0,0,12,4
33,4,11214,0,0,7,0,0,40,4
35,4,10792,15,0,1,0,0,39,4
46,4,13112,11,2,3,0,0,40,4
51,7,19719,15,0,1,0,0,40,0
47,1,1253,9,3,4,0,0,60,2
42,4,12784,8,2,7,0,0,40,4
32,2,14810,12,2,10,0,0,48,4
50,4,3432,3,5,10,0,0,40,4
27,4,8258,15,4,8,0,0,25,4
40,4,21010,3,4,8,0,0,45,4
25,4,9174,8,4,5,0,0,20,5
54,2,9458,9,2,4,0,0,40,2
28,4,6650,9,4,12,0,0,65,4
27,4,13797,9,1,12,0,0,40,5
36,4,12883,12,2,4,0,0,45,4
21,4,4574,15,4,14,0,0,20,5
37,4,10204,0,4,6,0,0,40,4
40,4,19117,15,0,4,0,14,48,5
44,4,14268,9,2,10,0,0,45,4
49,4,2184,12,2,4,110,0,50,1
24,4,17801,9,4,1,0,0,40,2
22,4,3373,15,4,8,0,0,35,5
42,4,13342,15,2,10,0,0,40,4
30,4,20777,11,2,6,0,0,60,4
25,4,4054,0,2,14,0,0,40,4
21,4,1304,15,4,8,0,0,40,4
49,4,15771,10,2,12,0,0,60,3
42,6,8061,15,2,3,0,0,52,5
31,4,21663,6,2,7,0,0,43,4
31,4,10602,9,2,12,0,0,90,4
36,2,18242,15,4,4,0,0,48,4
51,1,3969,11,0,1,0,0,8,4
19,4,13606,11,5,1,0,0,30,4
32,4,5273,11,4,1,50,0,35,4
35,4,279,9,3,4,0,0,40,4
33,4,7366,11,2,3,0,0,30,4
34,4,7218,11,5,3,0,0,40,5
31,4,17947,9,6,12,0,0,41,5
38,4,14335,9,0,8,0,0,60,4
55,2,6610,12,2,4,0,0,50,4
28,4,10855,11,4,3,0,0,40,5
44,2,16580,7,0,13,0,0,40,4
34,4,21508,15,4,10,0,0,50,0
50,4,4611,12,2,4,119,0,60,4
36,4,653,8,0,12,0,0,40,5
25,4,18828,9,4,13,0,0,40,1
52,4,9189,15,2,7,0,0,40,4
35,4,12736,11,4,4,0,0,54,2
44,4,7917,9,2,10,0,49,50,4
48,4,12344,7,2,12,0,49,40,4
54,4,7606,0,2,7,0,0,60,0
22,4,20013,15,4,1,0,0,38,5
31,4,8886,11,2,1,0,0,40,5
62,5,15569,9,2,4,79,0,50,5
38,0,10870,11,2,0,0,0,24,4
35,4,14279,15,0,1,0,0,45,5
19,4,8496,11,4,8,0,35,40,4
32,4,4023,15,2,13,0,0,32,4
30,4,20882,15,0,1,0,0,45,4
37,4,21749,7,2,5,0,0,40,4
42,4,6919,4,3,5,0,0,35,4
64,4,3396,15,2,1,0,0,40,2
52,4,9994,11,2,7,0,0,38,5
29,4,16831,9,4,3,0,0,45,4
41,4,6791,8,2,10,0,0,40,5
23,4,3489,6,2,7,0,0,40,5
46,4,17581,9,4,4,0,0,40,5
31,4,6219,9,2,10,0,0,40,4
57,2,15746,12,2,4,0,0,60,5
43,4,10585,12,5,12,88,0,50,5
29,4,16643,15,0,8,3,0,24,5
28,4,17120,8,4,6,0,0,40,2
56,4,12146,15,2,4,0,48,40,5
38,4,6642,11,2,11,0,0,45,4
20,0,11493,0,4,0,0,0,30,4
35,4,2291,15,2,3,0,57,45,4
41,4,9399,9,2,4,93,0,50,4
33,4,3721,11,4,12,0,0,40,5
35,4,19927,9,2,14,0,0,40,4
36,4,15146,11,2,6,0,0,20,4
52,4,20895,8,2,4,0,0,40,4
39,4,4239,9,2,10,96,0,32,4
18,0,5022,1,4,0,0,0,25,4
35,5,6753,11,2,8,0,0,60,4
29,1,5307,9,1,10,0,0,50,4
29,4,2763,9,4,4,0,0,50,3
51,6,1338,15,2,10,0,0,40,4
